	Metric	H-stat	p-value	Eta_Sq
7	RNA Degradation (3' Bias)	2677.326968958201	0.0	0.8323307958793684
3	rRNA Fraction	2581.904980042475	0.0	0.8021816682598657
1	Spliced Reads (%)	2417.449138736775	0.0	0.7502208969152527
8	NG80	2391.8432005993104	0.0	0.7421305531119464
6	Gene Length Bias	2228.023947791942	0.0	0.6903709155740734
9	NP80	2224.0795109871483	0.0	0.6891246480212159
10	(NP80/NG80)	2164.2915882863554	0.0	0.670234309095215
2	gDNA Contamination (Intron/Exon)	1944.437453815718	0.0	0.6007701275879046
5	GC Bias	1627.8312525806032	0.0	0.5007365726952933
0	log(Total Reads)	1267.3710536978908	1.591819995387723e-237	0.38684709437532094
4	Platelet Score	1062.3738566351658	1.407436025892954e-194	0.32207704791000497
