BioProject	Author	DOI
PRJEB90290	Tuni et al.	https://doi.org/10.1101/2025.07.10.664092
PRJNA1073463	Chang et al.	https://doi.org/10.1101/2023.01.11.23284433
PRJNA1073464	Chang et al.	https://doi.org/10.1101/2023.01.11.23284434
PRJNA1073465	Chang et al.	https://doi.org/10.1101/2023.01.11.23284435
PRJNA1131299	Peddu et al.	https://doi.org/10.1101/2025.07.02.662774
PRJNA1135202	Moore et al.	https://doi.org/10.1038/s41467-025-62685-y
PRJNA1199029	Moore et al.	https://doi.org/10.1038/s41467-025-62685-y
PRJNA1246570	Gardella et al.	https://doi.org/10.1073/pnas.2507345122
PRJNA1260525	Raissadati et al.	https://doi.org/10.1172/jci188817
PRJNA517339	Ibarra et al.	https://doi.org/10.1038/s41467-019-14253-4
PRJNA562932	Reggiardo et al.	https://doi.org/10.1038/s41551-023-01081-7
PRJNA574438	Toden et al.	https://doi.org/10.1126/sciadv.abb1654
PRJNA701722	Chalasani et al.	https://doi.org/10.1152/ajpgi.00397.2020
PRJNA729258	Chen et al.	https://doi.org/10.7554/elife.75181
PRJNA758012	Roskams-Hieter B et al.	https://doi.org/10.1038/s41698-022-00270-y
PRJNA792450	Moufarrej et al.	https://doi.org/10.1038/s41586-022-04410-z
PRJNA858770	Ward Z et al.	https://doi.org/10.3390/cells11203191
PRJNA907745	Block et al.	https://doi.org/10.3389/fonc.2022.963641
